0,-1,0.2,24.441,14.069,6.433,14.069,8.7668,4.0384,6.433,4.0384,2.4639,71.822,61.207,4.6852
0.01,-1,0.2,24.441,14.069,6.433,14.069,8.7668,4.0384,6.433,4.0384,2.4639,71.822,61.207,4.6852
0.02,-1,0.2,24.441,14.069,6.433,14.069,8.7668,4.0384,6.433,4.0384,2.4639,72.214,61.305,4.8442
0.03,-1,0.2,24.406,14.046,6.4276,14.046,8.7562,4.0331,6.4276,4.0331,2.4639,73.397,61.774,5.293
0.04,-1,0.2,24.335,14,6.4169,14,8.7348,4.0224,6.4169,4.0224,2.4639,75.366,62.609,6.026
0.05,-1,0.2,24.229,13.931,6.4008,13.931,8.7025,4.0063,6.4008,4.0063,2.4639,78.106,63.806,7.0314
0.06,-1,0.2,24.086,13.838,6.3791,13.838,8.6594,3.9847,6.3791,3.9847,2.4639,81.596,65.354,8.2924
0.07,-1,0.2,23.907,13.721,6.3519,13.721,8.6052,3.9576,6.3519,3.9576,2.4639,85.807,67.245,9.789
0.08,-1,0.2,23.69,13.58,6.3191,13.58,8.54,3.925,6.3191,3.925,2.4639,90.708,69.466,11.501
0.09,-1,0.2,23.437,13.415,6.2806,13.415,8.4637,3.8868,6.2806,3.8868,2.4639,96.268,72.009,13.408
0.1,-1,0.2,23.147,13.227,6.2365,13.227,8.3763,3.8431,6.2365,3.8431,2.4639,102.46,74.865,15.496
0.11,-1,0.2,22.82,13.014,6.1867,13.014,8.2779,3.7939,6.1867,3.7939,2.4639,109.26,78.029,17.752
0.12,-1,0.2,22.458,12.778,6.1313,12.778,8.1685,3.7393,6.1313,3.7393,2.4639,116.66,81.497,20.172
0.13,-1,0.2,22.06,12.519,6.0703,12.519,8.0482,3.6791,6.0703,3.6791,2.4639,124.65,85.269,22.754
0.14,-1,0.2,21.628,12.238,6.0038,12.238,7.9171,3.6136,6.0038,3.6136,2.4639,133.23,89.343,25.502
0.15,-1,0.2,21.164,11.934,5.9318,11.934,7.7753,3.5427,5.9318,3.5427,2.4639,142.42,93.721,28.427
0.16,-1,0.2,20.667,11.61,5.8543,11.61,7.623,3.4665,5.8543,3.4665,2.4639,152.23,98.403,31.543
0.17,-1,0.2,20.14,11.265,5.7716,11.265,7.4601,3.385,5.7716,3.385,2.4639,162.69,103.39,34.867
0.18,-1,0.2,19.585,10.901,5.6836,10.901,7.2869,3.2985,5.6836,3.2985,2.4639,173.83,108.68,38.425
0.19,-1,0.2,19.003,10.518,5.5906,10.518,7.1036,3.2068,5.5906,3.2068,2.4639,185.69,114.26,42.241
0.2,-1,0.2,18.396,10.118,5.4925,10.118,6.9103,3.1101,5.4925,3.1101,2.4639,198.31,120.14,46.349
0.21,-1,0.2,17.767,9.7018,5.3897,9.7018,6.7072,3.0086,5.3897,3.0086,2.4639,211.75,126.29,50.783
0.22,-1,0.2,17.117,9.2707,5.2822,9.2707,6.4945,2.9022,5.2822,2.9022,2.4639,226.04,132.68,55.584
0.23,-1,0.2,16.45,8.8258,5.1701,8.8258,6.2724,2.7912,5.1701,2.7912,2.4639,241.25,139.29,60.799
0.24,-1,0.2,15.766,8.3687,5.0538,8.3687,6.0413,2.6756,5.0538,2.6756,2.4639,257.43,146.07,66.476
0.25,-1,0.2,15.07,7.9007,4.9334,7.9007,5.8013,2.5557,4.9334,2.5557,2.4639,274.63,152.95,72.673
0.26,-1,0.2,14.364,7.4235,4.8092,7.4235,5.5529,2.4315,4.8092,2.4315,2.4639,292.9,159.82,79.45
0.27,-1,0.2,13.651,6.9386,4.6813,6.9386,5.2965,2.3032,4.6813,2.3032,2.4639,312.28,166.58,86.873
0.28,-1,0.2,12.934,6.4479,4.5502,6.4479,5.0325,2.1712,4.5502,2.1712,2.4639,332.8,173.05,95.011
0.29,-1,0.2,12.215,5.953,4.416,5.953,4.7616,2.0358,4.416,2.0358,2.4639,354.47,179,103.93
0.3,-1,0.2,11.498,5.4561,4.2793,5.4561,4.4844,1.8972,4.2793,1.8972,2.4639,377.24,184.13,113.71
0.31,-1,0.2,10.787,4.9593,4.1404,4.9593,4.202,1.756,4.1404,1.756,2.4639,401.05,188.08,124.4
0.32,-1,0.2,10.084,4.4647,3.9997,4.4647,3.9154,1.6127,3.9997,1.6127,2.4639,425.72,190.33,136.03
0.33,-1,0.2,9.3942,3.975,3.8579,3.975,3.6262,1.4681,3.8579,1.4681,2.4639,450.98,190.23,148.62
0.34,-1,0.2,8.7199,3.493,3.7155,3.493,3.3363,1.3231,3.7155,1.3231,2.4639,476.41,186.99,162.11
0.35,-1,0.2,8.0654,3.0216,3.5733,3.0216,3.0482,1.1791,3.5733,1.1791,2.4639,501.33,179.57,176.35
0.36,-1,0.2,7.4344,2.5646,3.4319,2.5646,2.7651,1.0375,3.4319,1.0375,2.4639,524.78,166.73,191.04
0.37,-1,0.2,6.8308,2.1259,3.2923,2.1259,2.4914,0.90067,3.2923,0.90067,2.4639,545.32,147,205.71
0.38,-1,0.2,6.2586,1.7104,3.1555,1.7104,2.2326,0.77127,3.1555,0.77127,2.4639,560.97,118.79,219.59
0.39,-1,0.2,5.7218,1.3238,3.0223,1.3238,1.996,0.65302,3.0223,0.65302,2.4639,569.04,80.589,231.65
0.4,-1,0.2,5.2241,0.97254,2.8939,0.97254,1.7913,0.55063,2.8939,0.55063,2.4639,566.13,31.514,240.68
0.41,-1,0.2,4.7688,0.66431,2.7708,0.66431,1.6302,0.47007,2.7708,0.47007,2.4639,548.57,-27.648,245.71
0.42,-1,0.2,4.3582,0.40737,2.6534,0.40737,1.5269,0.41844,2.6534,0.41844,2.4639,513.67,-92.636,247.14
0.43,-1,0.2,3.9927,0.2096,2.5406,0.2096,1.4969,0.40342,2.5406,0.40342,2.4639,462.31,-153.53,248.36
0.44,-1,0.2,3.6697,0.076211,2.4302,0.076211,1.553,0.4315,2.4302,0.4315,2.4639,401.86,-194.55,256.65
0.45,-1,0.2,3.3832,0.006152,2.3175,0.006152,1.6994,0.50468,2.3175,0.50468,2.4639,344.91,-200.49,279.37
0.46,-1,0.2,3.1251,-0.011188,2.1971,-0.011188,1.9229,0.61642,2.1971,0.61642,2.4639,300.05,-169.81,315.27
0.47,-1,0.2,2.8896,0.0046784,2.0648,0.0046784,2.1901,0.75002,2.0648,0.75002,2.4639,263.51,-119,351.65
0.48,-1,0.2,2.6779,0.031493,1.9193,0.031493,2.4554,0.88267,1.9193,0.88267,2.4639,224.84,-69.116,374.05
0.49,-1,0.2,2.498,0.051762,1.7622,0.051762,2.6758,0.99289,1.7622,0.99289,2.4639,178.21,-32.677,375.63
0.5,-1,0.2,2.3618,0.056804,1.596,0.056804,2.8221,1.066,1.596,1.066,2.4639,125.72,-12.942,357.63
